         2675649 function calls (2624534 primitive calls) in 19.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13457    0.028    0.000    0.029    0.000 {built-in method builtins.setattr}
    12817    0.027    0.000    0.027    0.000 {method '__exit__' of '_thread.lock' objects}
2302/1264    0.027    0.000    0.487    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:259(_reconstruct)
 1572/920    0.027    0.000    0.281    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:227(_deepcopy_dict)
       20    0.027    0.001   16.798    0.840 /gpfs/fs1/home/sbose/APPFL/src/appfl/algorithm/client_step_optimizer.py:18(update)
      200    0.026    0.000    2.047    0.010 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/dataset.py:419(<listcomp>)
     4268    0.026    0.000    0.044    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:183(__init__)
    12820    0.026    0.000    0.040    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/sampler.py:152(__iter__)
     3022    0.026    0.000    0.156    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     6632    0.026    0.000    0.038    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:1059(__hash__)
     4272    0.026    0.000    0.042    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:243(_keep_alive)
       89    0.026    0.000    0.262    0.003 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:62(<listcomp>)
    12816    0.026    0.000    0.026    0.000 {built-in method _thread.get_ident}
    12859    0.025    0.000    0.025    0.000 {method 'rstrip' of 'str' objects}
      220    0.025    0.000    0.066    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/sampler.py:274(__iter__)
    11992    0.025    0.000    0.025    0.000 {built-in method _thread.allocate_lock}
       22    0.025    0.001    0.033    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
     6032    0.025    0.000    0.214    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:19(ambiguous)
     2858    0.024    0.000    0.300    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:377(abspath)
12026/12024    0.024    0.000    0.024    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
       22    0.024    0.001    1.953    0.089 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:850(getmodule)
     9040    0.023    0.000    0.023    0.000 {method 'item' of 'torch._C.TensorBase' objects}
     6658    0.023    0.000    0.033    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:823(<genexpr>)
     2640    0.023    0.000    2.851    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2793(_load_obj_from_str)
     5266    0.023    0.000    0.034    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1687(_check_instance)
     5266    0.023    0.000    0.034    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1705(_is_type)
    10400    0.023    0.000    0.026    0.000 {built-in method __new__ of type object at 0x744500}
     5264    0.022    0.000    0.034    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/utils.py:544(is_function)
    11086    0.022    0.000    0.022    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:234(__next)
      200    0.022    0.000    0.022    0.000 {built-in method torch._C._nn.mse_loss}
     3386    0.022    0.000    0.140    0.000 <frozen importlib._bootstrap>:169(__enter__)
 2000/200    0.022    0.000    0.099    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/pin_memory.py:56(pin_memory)
     1476    0.022    0.000    0.041    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:663(_is_type)
      600    0.022    0.000    0.022    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
      742    0.022    0.000    0.823    0.001 <frozen importlib._bootstrap>:921(_find_spec)
     9807    0.021    0.000    0.021    0.000 {method 'split' of 'str' objects}
     9547    0.020    0.000    0.029    0.000 {built-in method _abc._abc_instancecheck}
     2400    0.020    0.000    0.115    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/linear.py:115(forward)
        1    0.020    0.020    0.696    0.696 /home/sbose/time-series-forecasting-federation/files_for_appfl/comstock_dataloader.py:19(get_comstock)
     2400    0.020    0.000    0.034    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:231(check_input)
    10046    0.019    0.000    0.019    0.000 {built-in method builtins.ord}
      180    0.019    0.000    0.064    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1974(_load_from_state_dict)
     1434    0.019    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      789    0.019    0.000    0.062    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:722(_get_field)
     1676    0.019    0.000    0.500    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:813(getsourcefile)
      200    0.019    0.000    0.277    0.001 /home/sbose/time-series-forecasting-federation/models/LSTM/LSTMAR.py:103(<listcomp>)
     4800    0.019    0.000    0.028    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:257(check_hidden_size)
      440    0.018    0.000    0.111    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:82(__deepcopy__)
        5    0.018    0.004    0.172    0.034 {method 'dump' of '_pickle.Pickler' objects}
     7600    0.018    0.000    0.018    0.000 {built-in method torch._C._get_tracing_state}
     3403    0.018    0.000    0.029    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:935(_is_dunder)
      718    0.017    0.000    0.090    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       60    0.017    0.000    0.561    0.009 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/lib/format.py:738(read_array)
     4402    0.017    0.000    0.026    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:182(ismodule)
