         8274285 function calls (8097115 primitive calls) in 66.252 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5311    0.026    0.000    0.082    0.000 {method '__reduce_ex__' of 'object' objects}
     6032    0.026    0.000    0.222    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:19(ambiguous)
       89    0.025    0.000    0.266    0.003 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:62(<listcomp>)
    12816    0.025    0.000    0.025    0.000 {built-in method _thread.get_ident}
12837/12822    0.025    0.000    0.028    0.000 {built-in method builtins.iter}
    11992    0.025    0.000    0.025    0.000 {built-in method _thread.allocate_lock}
     1815    0.025    0.000   22.359    0.012 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/dataloader.py:626(__next__)
    12600    0.025    0.000    0.025    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/worker.py:89(get_worker_info)
     2115    0.024    0.000    0.057    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/profiler.py:610(__exit__)
     3329    0.024    0.000    0.037    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:243(_keep_alive)
       22    0.024    0.001    2.055    0.093 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:850(getmodule)
     2858    0.024    0.000    0.300    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:377(abspath)
       15    0.023    0.002   51.943    3.463 /gpfs/fs1/home/sbose/APPFL/src/appfl/algorithm/client_step_optimizer.py:18(update)
     5266    0.023    0.000    0.035    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1705(_is_type)
     2640    0.023    0.000    3.345    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2793(_load_obj_from_str)
     3600    0.023    0.000    0.533    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:60(to)
     5266    0.023    0.000    0.034    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1687(_check_instance)
      742    0.023    0.000    0.540    0.001 <frozen importlib._bootstrap>:921(_find_spec)
    11086    0.023    0.000    0.023    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:234(__next)
     5264    0.022    0.000    0.034    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/utils.py:544(is_function)
     6438    0.022    0.000    0.032    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:823(<genexpr>)
     1476    0.022    0.000    0.041    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:663(_is_type)
     3386    0.022    0.000    0.139    0.000 <frozen importlib._bootstrap>:169(__enter__)
5732/5731    0.022    0.000    0.024    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
 1229/715    0.022    0.000    0.228    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:227(_deepcopy_dict)
   270/30    0.022    0.000    1.005    0.033 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:776(_apply)
8150/7549    0.021    0.000    2.110    0.000 {built-in method builtins.next}
     9615    0.021    0.000    0.033    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/sampler.py:152(__iter__)
     9557    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
     1434    0.020    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       60    0.019    0.000    0.564    0.009 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/lib/format.py:738(read_array)
      789    0.019    0.000    0.062    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:722(_get_field)
    10046    0.019    0.000    0.019    0.000 {built-in method builtins.ord}
     1800    0.019    0.000    0.041    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/functional.py:47(broadcast_tensors)
     4982    0.018    0.000    0.028    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:1059(__hash__)
       15    0.018    0.001    0.109    0.007 /home/sbose/time-series-forecasting-federation/files_for_appfl/tsf_metric.py:6(mape_metric)
     1621    0.018    0.000    0.604    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:813(getsourcefile)
     3401    0.018    0.000    0.029    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:935(_is_dunder)
      718    0.018    0.000    0.092    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
